time	x
1	-0.0025743
2	-0.0025665
3	-0.0025429
4	-0.002531
5	-0.0025528
6	-0.0025388
7	-0.0025669
8	-0.0025592
9	-0.0025173
10	-0.0025394
11	-0.0025298
12	-0.0025041
13	-0.0024942
14	-0.0025145
15	-0.0025369
16	-0.0025425
17	-0.0025258
18	-0.0025188
19	-0.0025149
20	-0.002514
21	-0.0025261
22	-0.0025016
23	-0.0025329
24	-0.0025366
25	-0.0024977
26	-0.002542
27	-0.0025299
28	-0.0025182
29	-0.0025037
30	-0.0025175
31	-0.0025067
32	-0.0025066
33	-0.0025169
34	-0.0025136
35	-0.00249
36	-0.0024958
37	-0.00255
38	-0.0025148
39	-0.0025177
40	-0.0025145
41	-0.0024943
42	-0.0024998
43	-0.0024887
44	-0.0025004
45	-0.0025078
46	-0.0025032
47	-0.0024825
48	-0.0024749
49	-0.002489
50	-0.0024989
51	-0.0024873
52	-0.0024712
53	-0.0024749
54	-0.0024807
55	-0.0025072
56	-0.0024805
57	-0.0024915
58	-0.0024928
59	-0.0024814
60	-0.0024799
61	-0.0024531
62	-0.0024855
63	-0.0024788
64	-0.0024984
65	-0.0024827
66	-0.0024718
67	-0.0025081
68	-0.0025216
69	-0.0025104
70	-0.002528
71	-0.0025173
72	-0.0025185
73	-0.0025277
74	-0.0025267
75	-0.0025786
76	-0.0025468
77	-0.0025383
78	-0.002522
79	-0.0025065
80	-0.0024956
81	-0.0024879
82	-0.0024541
83	-0.0024305
84	-0.0024737
85	-0.0024102
86	-0.0024164
87	-0.0024319
88	-0.0024334
89	-0.0023951
90	-0.0023721
91	-0.0024068
92	-0.0024282
93	-0.002434
94	-0.0024009
95	-0.0024097
96	-0.002409
97	-0.0024098
98	-0.0024171
99	-0.0024178
100	-0.0024541
101	-0.0024529
102	-0.0024651
103	-0.0024718
104	-0.0024756
105	-0.0024717
106	-0.002503
107	-0.0024966
108	-0.0024808
109	-0.0024459
110	-0.0024488
111	-0.0024556
112	-0.0024584
113	-0.0024573
114	-0.0024952
115	-0.0024956
116	-0.0025041
117	-0.002498
118	-0.0024941
119	-0.0025072
120	-0.0024836
121	-0.0024774
